window,events,treated_arrivals,control_arrivals,treated_delay,control_delay,delay_diff,delay_ci_low,delay_ci_high,cancel_diff,cancel_ci_low,cancel_ci_high
active,2689,222097,212602,0.29548800749222187,0.07867752890377322,0.21710441752409934,0.20867872254720668,0.22619302586238016,0.06405388403305444,0.057672075625005155,0.07046320967561565
clean_lag_3h,1746,68907,67591,0.17369788265343145,0.09939193087837137,0.07390451552153121,0.06618517788729629,0.08186734140731293,0.023105318777148588,0.018433278598609285,0.027769969791175696
post_3h,3271,364081,351070,0.29507994100213963,0.08611957729227787,0.20929480032072487,0.20213435519251952,0.2163889636883632,0.06628275048641309,0.06116301936469426,0.07138831786723683
