ranking_score,target,window,events_top_decile,event_diff_top_decile,event_score_threshold
R,long_arrival_delay,active,142,0.29108165388238383,0.3951908120244076
R,long_arrival_delay,post_3h,168,0.30417265318345543,0.3806474894946664
R,cancellation,active,139,0.28588890780069615,0.19169169207732145
R,cancellation,post_3h,168,0.3017846323425704,0.1847031303272753
QxR,long_arrival_delay,active,139,0.30561213546602695,0.3660381334860864
QxR,long_arrival_delay,post_3h,169,0.3132501363129026,0.3618592634914654
QxR,cancellation,active,140,0.29088122877091577,0.18133732443535305
QxR,cancellation,post_3h,168,0.29707874320405836,0.17131248643861896
