target,model,fold,log_loss,brier,auc,event_rate,arrivals,events,pr_auc,expected_calibration_error,calibration_intercept,calibration_slope,top_decile_precision,top_decile_lift,auc_primary,pr_auc_primary,brier_primary,auc_gain_vs_primary,pr_auc_gain_vs_primary,brier_gain_vs_primary
long_arrival_delay,schedule_fused_state,ATL,0.237915782660222,0.06234836421750422,0.6882345074363079,0.0699748522368695,312155,21843,0.1781329240831223,0.016172809121538786,-0.2813749603523488,0.9804973554806722,0.2073146936035565,2.962702842183683,0.6607676265816341,0.13619838788003005,0.06394541615511933,0.027466880854673748,0.04193453620309226,0.0015970519376151057
cancellation,schedule_fused_state,ATL,0.07008637162040814,0.013824991562086544,0.7170998863424728,0.01494449872659416,312155,4665,0.1371374149976373,0.00725108495411511,-0.2953917214020331,1.0270062791696755,0.05647835210071919,3.7792068595927115,0.6617581049089616,0.03574914095549436,0.014716275464578156,0.055341781433511206,0.10138827404214293,0.0008912839024916124
long_arrival_delay,schedule_fused_state,CLT,0.2548528584801454,0.06743954925512836,0.6733088214629659,0.07603143216132155,194196,14765,0.1812867815642882,0.016351649621559855,0.5106589366300617,1.0923267098819847,0.1956648609308808,2.5734733039846485,0.6583845515887777,0.13586880643316637,0.06877638179780628,0.014924269874188156,0.045417975131121835,0.0013368325426779126
cancellation,schedule_fused_state,CLT,0.08365340389404524,0.017102906669503138,0.6889517960085981,0.01768316546169849,194196,3434,0.06240677224694153,0.00391865004265124,0.03535134365413041,0.9578906953065037,0.061911571772007325,3.5011588793933415,0.6322597162163183,0.03868322020293795,0.017272549339520576,0.05669207979227986,0.02372355204400358,0.00016964267001743846
long_arrival_delay,schedule_fused_state,DEN,0.2560305084231168,0.07034347042103413,0.7597834381501966,0.08839949386083716,314538,27805,0.3188047689068569,0.020717020033967224,-0.16426554326084358,1.0513319575573548,0.3681653727053647,4.1647905053048015,0.711746132193895,0.2154933609457959,0.07651156630895192,0.04803730595630151,0.10331140796106097,0.006168095887917793
cancellation,schedule_fused_state,DEN,0.05844161472195989,0.010083640769236154,0.6365333328662647,0.008491819748329296,314538,2671,0.02095715397702947,0.01816768856089202,-2.8203052573123184,0.49863455694869274,0.0227317526022293,2.676900037439161,0.6177901470509567,0.015845701939005415,0.008815755641913047,0.018743185815307983,0.005111452038024055,-0.0012678851273231068
long_arrival_delay,schedule_fused_state,DFW,0.29754416732685973,0.08326478035382381,0.7003279132273851,0.09886914584284223,313303,30976,0.24097946858676825,0.016685453643653064,-0.14328424709442306,0.8584919166487548,0.30905369012062467,3.1258861142775722,0.6455372579677771,0.1618266067868448,0.08764992560654393,0.05479065525960802,0.07915286179992345,0.004385145252720116
cancellation,schedule_fused_state,DFW,0.11121722619106843,0.02565222542706741,0.7998071527141625,0.028078250128469883,313303,8797,0.16025085774381323,0.010116955845794185,0.5704135003379263,1.0293291334956356,0.13529681028181706,4.818562754544064,0.7193298735520615,0.10119392366125955,0.027011486390124004,0.08047727916210101,0.05905693408255368,0.0013592609630565938
long_arrival_delay,schedule_fused_state,EWR,0.30314306531104734,0.09006269390472971,0.8072708548844966,0.12521629567408651,119050,14907,0.39344878031174224,0.018062759856533495,0.25144965642009215,1.1528008508322083,0.47081058378832424,3.759978533574831,0.7093273985087488,0.23997381755850267,0.1085521078568908,0.09794345637574775,0.15347496275323957,0.018489413952161096
cancellation,schedule_fused_state,EWR,0.10035710325595812,0.022849116751454807,0.7882581295882016,0.025182696346073077,119050,2998,0.14933902477051444,0.005890377467124539,-0.1192016264303995,1.028335027941252,0.12690346193076138,5.03931192223387,0.657930004612273,0.07104374152576992,0.02429372144604633,0.1303281249759286,0.07829528324474452,0.0014446046945915218
