window,events,treated_arrivals,control_arrivals,treated_delay,control_delay,delay_diff,delay_ci_low,delay_ci_high,cancel_diff,cancel_ci_low,cancel_ci_high,window_order,delay_diff_vs_pre_1h,delay_diff_minus_pre_mean,pre_mean_delay_diff
pre_3h,2047,108663,107759,0.0635082778866771,0.0582132350894124,0.0050464082115401,0.0025108804821214,0.0074221789516872,0.0030694477962429,0.0020472003326797,0.0041564958578675,1,-0.0061278322816543,-0.00306391614082715,0.00811032435236725
pre_1h,1145,31032,30641,0.0767594740912606,0.0652067491269867,0.0111742404931944,0.0070154801480045,0.0160765363220218,0.0047147266769785,0.0027682719951904,0.0072891001566001,2,0.0,0.00306391614082715,0.00811032435236725
active,2689,222097,212602,0.2954880074922218,0.0786775289037732,0.2171044175240993,0.2090541969058411,0.2253841470539489,0.0640538840330544,0.0574966416338455,0.0701266398008978,3,0.2059301770309049,0.20899409317173206,0.00811032435236725
post_1h,1090,23369,23038,0.1729213915871453,0.0908064936192377,0.0829192852916254,0.0719536323802068,0.0948786512307286,0.0182572936172587,0.0133482102412719,0.0242833830205002,4,0.0717450447984309,0.07480896093925815,0.00811032435236725
post_3h,1714,63923,62606,0.1727547205231294,0.0991598249369069,0.0731381571793354,0.0645538537180331,0.0809617553615922,0.0236000630137786,0.0188327468901342,0.0285856854229896,5,0.061963916686141,0.06502783282696815,0.00811032435236725
clean_lag_6h,2045,74582,73536,0.1676678018824917,0.1168135335073977,0.0490906706026808,0.0437700134457025,0.0550198181820708,0.0195844043615673,0.0161895625069097,0.0236559997206233,6,0.0379164301094864,0.04098034625031355,0.00811032435236725
