subset,target,residual_top_bottom_ratio,residual_positive_steps,residual_spearman,active_events,active_event_diff,active_ci_low,active_ci_high,post_events,post_event_diff,post_ci_low,post_ci_high
all,cancellation,3.924532200993378,9/9,1.0,1390,0.24343250031696734,0.23187314312927362,0.2550094351289794,1679,0.2338079112660249,0.22527262668452688,0.24183806117058165
all,long_arrival_delay,3.157245064289031,9/9,1.0,1390,0.24343250031696734,0.23187314312927362,0.2550094351289794,1679,0.2338079112660249,0.22527262668452688,0.24183806117058165
high_reliability,cancellation,3.7067189355802945,9/9,1.0,1190,0.24434781872569394,0.2329335175362296,0.2563910653733712,1461,0.2353627884135975,0.22528575133600565,0.24485138175645874
high_reliability,long_arrival_delay,3.1159364622166423,9/9,1.0,1190,0.24434781872569394,0.2329335175362296,0.2563910653733712,1461,0.2353627884135975,0.22528575133600565,0.24485138175645874
