window,events,treated_arrivals,control_arrivals,treated_delay,control_delay,delay_diff,delay_ci_low,delay_ci_high,cancel_diff,cancel_ci_low,cancel_ci_high,window_order,delay_diff_vs_pre_1h
pre_3h,2047,108663,107759,0.06350827788667714,0.058213235089412466,0.005046408211540128,0.002510880482121456,0.007422178951687272,0.0030694477962429764,0.0020472003326797938,0.004156495857867597,1,-0.006127832281654311
pre_1h,1145,31032,30641,0.0767594740912606,0.0652067491269867,0.011174240493194439,0.007015480148004547,0.016076536322021863,0.004714726676978583,0.002768271995190467,0.007289100156600121,2,0.0
active,2689,222097,212602,0.29548800749222187,0.07867752890377322,0.21710441752409934,0.2090541969058411,0.2253841470539489,0.06405388403305444,0.05749664163384551,0.07012663980089782,3,0.2059301770309049
post_1h,1090,23369,23038,0.17292139158714537,0.09080649361923775,0.0829192852916254,0.07195363238020686,0.09487865123072868,0.018257293617258783,0.013348210241271908,0.02428338302050023,4,0.07174504479843097
post_3h,1714,63923,62606,0.1727547205231294,0.09915982493690698,0.07313815717933547,0.06455385371803318,0.08096175536159221,0.023600063013778618,0.018832746890134203,0.02858568542298961,5,0.061963916686141034
clean_lag_6h,2045,74582,73536,0.16766780188249175,0.11681353350739773,0.04909067060268087,0.04377001344570256,0.05501981818207088,0.019584404361567345,0.016189562506909734,0.023655999720623395,6,0.037916430109486435
