ranking_score,target,bottom_decile_rate,top_decile_rate,top_bottom_ratio,positive_residual_steps,total_adjacent_steps,spearman_decile_residual,event_diff_top_decile_active,event_diff_top_decile_post_3h,events_top_decile_active,events_top_decile_post_3h
QxR,cancellation,0.01932088157684686,0.07538566647523615,3.9017715716230263,9,9,1.0,0.29088122877091577,0.29707874320405836,140,168
QxR,long_arrival_delay,0.0979653316930707,0.30977152041854916,3.1620524839243713,9,9,1.0,0.30561213546602695,0.3132501363129026,139,169
R,cancellation,0.01919605616012894,0.07533554053250333,3.924532200993378,9,9,1.0,0.28588890780069615,0.3017846323425704,139,168
R,long_arrival_delay,0.09808285084024404,0.30967159670675776,3.157245064289031,9,9,1.0,0.29108165388238383,0.30417265318345543,142,168
