target,model,fold,log_loss,brier,auc,event_rate,arrivals,events,pr_auc,expected_calibration_error,calibration_intercept,calibration_slope,top_decile_precision,top_decile_lift,auc_primary,pr_auc_primary,brier_primary,expected_calibration_error_primary,auc_gain_vs_primary,pr_auc_gain_vs_primary,brier_gain_vs_primary,ece_gain_vs_primary
long_arrival_delay,advisory_only,leave_one_month_all,0.26717469699489654,0.07328785569588069,0.7162756738171243,0.08828631161376976,2145746,189440,0.25299202237455726,0.0029639089744583026,-0.021744209098997953,0.9892967574333265,0.31672750477949774,3.587504098767885,0.6710406128214133,0.16986541707325248,0.07771543647822328,0.0017430526607977025,0.04523506099571106,0.08312660530130478,0.004427580782342594,-0.0012208563136606
long_arrival_delay,calendar_only,leave_one_month_all,0.2889644759637855,0.07880967142000148,0.6401793339613661,0.08828631161376976,2145746,189440,0.14281881689467033,0.0023687444996883605,-0.25929411515399475,0.8834428875228167,0.17079806870303976,1.934592867014742,0.6710406128214133,0.16986541707325248,0.07771543647822328,0.0017430526607977025,-0.030861278860047192,-0.027046600178582153,-0.0010942349417781966,-0.0006256918388906579
long_arrival_delay,calendar_weather_full_demand,leave_one_month_all,0.26061805499519175,0.07118815976034226,0.7351871555137038,0.08828631161376976,2145746,189440,0.30382442125339154,0.0063983416759426735,-0.0031727518947680094,0.9972716141079114,0.33068033215487763,3.7455447635135135,0.6710406128214133,0.16986541707325248,0.07771543647822328,0.0017430526607977025,0.06414654269229059,0.13395900418013906,0.006527276717881017,-0.004655289015144971
long_arrival_delay,calendar_weather_schedule_demand,leave_one_month_all,0.28362115573285535,0.07771543647822328,0.6710406128214133,0.08828631161376976,2145746,189440,0.16986541707325248,0.0017430526607977025,-0.1687333583174229,0.9222644787229353,0.20641064451002814,2.337968828203203,0.6710406128214133,0.16986541707325248,0.07771543647822328,0.0017430526607977025,0.0,0.0,0.0,0.0
long_arrival_delay,full_demand_advisory,leave_one_month_all,0.2582144672799282,0.07052349460694227,0.7406150540986111,0.08828631161376976,2145746,189440,0.31402537636869676,0.00544222319179813,-0.009912685553534216,0.9943745451674453,0.33966783062342365,3.8473442192192184,0.6710406128214133,0.16986541707325248,0.07771543647822328,0.0017430526607977025,0.06957444127719781,0.14415995929544428,0.007191941871281013,-0.0036991705310004275
long_arrival_delay,full_demand_only,leave_one_month_all,0.2614646712704804,0.07135416755832268,0.731554785434227,0.08828631161376976,2145746,189440,0.3009064878699273,0.007232991645029369,-0.004484859850281386,0.9974094365150474,0.32989204193402416,3.7366159702901425,0.6710406128214133,0.16986541707325248,0.07771543647822328,0.0017430526607977025,0.06051417261281378,0.13104107079667482,0.006361268919900603,-0.005489938984231666
long_arrival_delay,full_fused_state,leave_one_month_all,0.2582201772849782,0.07052430825299465,0.7405828858253123,0.08828631161376976,2145746,189440,0.31398971240176593,0.005417795013422609,-0.010295389894533968,0.9941878600409993,0.3394664287885505,3.8450629840969013,0.6710406128214133,0.16986541707325248,0.07771543647822328,0.0017430526607977025,0.06954227300389904,0.14412429532851345,0.007191128225228632,-0.0036747423526249066
long_arrival_delay,schedule_demand_advisory,leave_one_month_all,0.26663556706071756,0.07317747078559286,0.720342221564941,0.08828631161376976,2145746,189440,0.2560658876316819,0.0025021893918051163,-0.04007876288647243,0.9803465171369173,0.3144931243662407,3.5621957539926283,0.6710406128214133,0.16986541707325248,0.07771543647822328,0.0017430526607977025,0.049301608743527736,0.08620047055842944,0.004537965692630416,-0.0007591367310074138
long_arrival_delay,schedule_demand_only,leave_one_month_all,0.28864875118265704,0.07887375368982863,0.6417773115664704,0.08828631161376976,2145746,189440,0.13723244121385766,0.0012622803381825592,-0.16538588004217272,0.9253856997663806,0.16151492301511922,1.829444679054054,0.6710406128214133,0.16986541707325248,0.07771543647822328,0.0017430526607977025,-0.02926330125494281,-0.032632975859394814,-0.0011583172116053503,0.00048077232261514334
long_arrival_delay,schedule_fused_state,leave_one_month_all,0.266640465997497,0.07317974540331823,0.7203492759297486,0.08828631161376976,2145746,189440,0.25596431419999566,0.002478467876442571,-0.04030363821405967,0.9801861375069494,0.31443482274131923,3.5615353840682786,0.6710406128214133,0.16986541707325248,0.07771543647822328,0.0017430526607977025,0.04930866310833537,0.08609889712674318,0.004535691074905049,-0.0007354152156448686
long_arrival_delay,weather_advisory,leave_one_month_all,0.2667879641733511,0.07321204924862101,0.7188552856728213,0.08828631161376976,2145746,189440,0.254741481916431,0.003934125740869022,-0.02020313246973672,0.9856905923679309,0.3165128912137179,3.585073217220599,0.6710406128214133,0.16986541707325248,0.07771543647822328,0.0017430526607977025,0.04781467285140806,0.0848760648431785,0.004503387229602265,-0.0021910730800713193
long_arrival_delay,weather_advisory_interaction,leave_one_month_all,0.2667929781366478,0.07321504744142755,0.718878169480982,0.08828631161376976,2145746,189440,0.25460998963853354,0.004087174152454807,-0.02048810356441144,0.985532151837163,0.31633086311731506,3.5830114242532005,0.6710406128214133,0.16986541707325248,0.07771543647822328,0.0017430526607977025,0.04783755665956879,0.08474457256528106,0.004500389036795727,-0.002344121491657105
long_arrival_delay,weather_only,leave_one_month_all,0.28437344312161655,0.07795038007639424,0.6667947941903078,0.08828631161376976,2145746,189440,0.1634349095099073,0.0015074061784135068,-0.1362242427437062,0.9334547149747042,0.19989194821502954,2.2641329619647736,0.6710406128214133,0.16986541707325248,0.07771543647822328,0.0017430526607977025,-0.0042458186311054025,-0.006430507563345178,-0.00023494359817095856,0.00023564648238419568
cancellation,advisory_only,leave_one_month_all,0.07726664247910407,0.016076205118567156,0.7212594387130131,0.01721172962689899,2145746,36932,0.1087701526196763,0.00048651371658012927,-0.1103226989133987,0.9672700820343254,0.07699886193426435,4.4736272067583664,0.6698785381619412,0.046740060240406174,0.016728740136099447,0.0004148408383106894,0.05138090055107192,0.06203009237927013,0.0006525350175322908,-7.167287826943987e-05
cancellation,calendar_only,leave_one_month_all,0.08693534796225166,0.01692102962137695,0.5829504895071598,0.01721172962689899,2145746,36932,0.022630826716869952,4.985588088449166e-05,-1.9818511189287296,0.5002058218378652,0.026340489508077842,1.5303801581284522,0.6698785381619412,0.046740060240406174,0.016728740136099447,0.0004148408383106894,-0.08692804865478143,-0.024109233523536222,-0.00019228948527750395,0.00036498495742619773
cancellation,calendar_weather_full_demand,leave_one_month_all,0.06770074871402616,0.014693508876860256,0.8150430792791808,0.01721172962689899,2145746,36932,0.25328567477147995,0.0016714790260080198,-0.01755253020596785,0.9899193866910737,0.10591589125646744,6.15370410484133,0.6698785381619412,0.046740060240406174,0.016728740136099447,0.0004148408383106894,0.14516454111723964,0.20654561453107378,0.002035231259239191,-0.0012566381876973304
cancellation,calendar_weather_schedule_demand,leave_one_month_all,0.0837982272926692,0.016728740136099447,0.6698785381619412,0.01721172962689899,2145746,36932,0.046740060240406174,0.0004148408383106894,-0.978664547069596,0.7419751081626578,0.051780530718298745,3.008444348171414,0.6698785381619412,0.046740060240406174,0.016728740136099447,0.0004148408383106894,0.0,0.0,0.0,0.0
cancellation,full_demand_advisory,leave_one_month_all,0.06755123375413209,0.01466777964545921,0.8143656268107011,0.01721172962689899,2145746,36932,0.25546140098222136,0.001696395884262402,-0.021460212301331327,0.9888674122994808,0.10593984562944542,6.155095851835806,0.6698785381619412,0.046740060240406174,0.016728740136099447,0.0004148408383106894,0.14448708864875992,0.2087213407418152,0.0020609604906402373,-0.0012815550459517127
cancellation,full_demand_only,leave_one_month_all,0.06744743008569389,0.01469104306609513,0.8233625144664455,0.01721172962689899,2145746,36932,0.25406686114146965,0.0016446723694533132,-0.009833797479760598,0.9945889313837292,0.10768435440507532,6.256451660545672,0.6698785381619412,0.046740060240406174,0.016728740136099447,0.0004148408383106894,0.15348397630450428,0.20732680090106348,0.0020376970700043164,-0.0012298315311426238
cancellation,full_fused_state,leave_one_month_all,0.06746231311246684,0.014647919165152744,0.8140331535682476,0.01721172962689899,2145746,36932,0.2562345985432075,0.0016596530439270305,-0.018491967501084092,0.9896170996938182,0.10551575069929059,6.130455973139824,0.6698785381619412,0.046740060240406174,0.016728740136099447,0.0004148408383106894,0.14415461540630636,0.20949453830280135,0.002080820970946702,-0.001244812205616341
cancellation,schedule_demand_advisory,leave_one_month_all,0.07688077879906671,0.01603553414206759,0.7371626015583924,0.01721172962689899,2145746,36932,0.11425430122333141,0.0007378511298435496,-0.21683241146027532,0.9343954777259826,0.07976949120103995,4.6346005270948405,0.6698785381619412,0.046740060240406174,0.016728740136099447,0.0004148408383106894,0.06728406339645121,0.06751424098292524,0.0006932059940318556,-0.00032301029153286023
cancellation,schedule_demand_only,leave_one_month_all,0.08589769305953426,0.01687886593739214,0.609712499073367,0.01721172962689899,2145746,36932,0.025530694559295488,4.450385503379159e-05,-1.1835072449131507,0.6991581025622279,0.031397005983000784,1.8241633271959277,0.6698785381619412,0.046740060240406174,0.016728740136099447,0.0004148408383106894,-0.06016603908857421,-0.021209365681110686,-0.00015012580129269287,0.0003703369832768978
cancellation,schedule_fused_state,leave_one_month_all,0.0767606403148417,0.016013307650738662,0.7399699681577556,0.01721172962689899,2145746,36932,0.11672076316685744,0.0006586600258013897,-0.21174728062020015,0.9355742602188378,0.08052211212324292,4.678327737463446,0.6698785381619412,0.046740060240406174,0.016728740136099447,0.0004148408383106894,0.07009142999581441,0.06998070292645125,0.0007154324853607848,-0.0002438191874907003
cancellation,weather_advisory,leave_one_month_all,0.07650892672437173,0.016014886571094584,0.7429824519355805,0.01721172962689899,2145746,36932,0.11611740744446683,0.0010672994554869393,-0.1439567482895952,0.9477756088847763,0.08100679204341986,4.706487598830282,0.6698785381619412,0.046740060240406174,0.016728740136099447,0.0004148408383106894,0.07310391377363934,0.06937734720406066,0.0007138535650048627,-0.0006524586171762499
cancellation,weather_advisory_interaction,leave_one_month_all,0.07639853122457435,0.015993658535357256,0.7453544973547314,0.01721172962689899,2145746,36932,0.11801562807514157,0.0009331255045987083,-0.141956106108918,0.9483413079634273,0.08135166044816115,4.726524423264378,0.6698785381619412,0.046740060240406174,0.016728740136099447,0.0004148408383106894,0.07547595919279015,0.0712755678347354,0.0007350816007421906,-0.0005182846662880189
