log_loss,brier,auc,event_rate,arrivals,events,pr_auc,top_decile_lift,target,model,fold_month,auc_gain_vs_base,pr_auc_gain_vs_base,brier_gain_vs_base,log_loss_gain_vs_base,top_lift_gain_vs_base
0.2711556326807414,0.07448325793147469,0.7055707257406422,0.08828631161376976,2145746,189440,0.2304672408481227,3.3444601373116614,long_arrival_delay,acrf_no_async,all,0.03453011291922892,0.06060182335247902,0.003232178546748593,0.012465523052113958,1.0062421453679087
0.27034014433992587,0.07419446046580405,0.7071313023354007,0.08828631161376976,2145746,189440,0.23650656996320374,3.346800589580544,long_arrival_delay,acrf_no_reliability,all,0.03609068951398742,0.06664115246756006,0.0035209760124192274,0.013281011392929476,1.0085825976367913
0.28362115573285535,0.07771543647822328,0.6710406128214133,0.08828631161376976,2145746,189440,0.16986541749564368,2.3382179919437527,long_arrival_delay,calendar_weather_demand,all,0.0,0.0,0.0,0.0,0.0
0.27139284870414104,0.0745664778759564,0.7051546691765348,0.08828631161376976,2145746,189440,0.2285727997157353,3.338373940407816,long_arrival_delay,ds_fusion,all,0.03411405635512155,0.058707382220091614,0.0031489586022668825,0.012228307028714303,1.0001559484640632
0.2659496682847139,0.07293163575668449,0.721496442504102,0.08828631161376976,2145746,189440,0.2626679642707268,3.605992064116773,long_arrival_delay,early_fusion_wad,all,0.0504558296826888,0.09280254677508312,0.004783800721538792,0.017671487448141454,1.2677740721730202
0.27046325633850576,0.07421588492572032,0.7062442864204119,0.08828631161376976,2145746,189440,0.23585506558587707,3.341410049117245,long_arrival_delay,full_acrf,all,0.035203673598998675,0.06598964809023339,0.0034995515525029636,0.013157899394349581,1.0031920571734925
0.27025016767983556,0.0741727452895599,0.7070596723539027,0.08828631161376976,2145746,189440,0.2370326157645921,3.343805118044953,long_arrival_delay,full_acrf_eta,all,0.036019059532489406,0.0671671982689484,0.003542691188663377,0.013370988053019783,1.0055871261012004
0.26594966828483635,0.07293163575672139,0.721496442504102,0.08828631161376976,2145746,189440,0.2626679642707268,3.605992064116773,long_arrival_delay,residual_logistic_fusion,all,0.0504558296826888,0.09280254677508312,0.004783800721501891,0.017671487448018997,1.2677740721730202
0.27179751693989385,0.07463592853499672,0.7022986980329853,0.08828631161376976,2145746,189440,0.22599671252115833,3.3531968304393156,long_arrival_delay,yager_fusion,all,0.03125808521157203,0.056131295025514644,0.0030795079432265615,0.0118236387929615,1.014978838495563
0.07984364878911353,0.016528143213530105,0.706915420002661,0.01721172962689899,2145746,36932,0.0684530190648308,4.004173704698066,cancellation,acrf_no_async,all,0.03703688184071985,0.02171295878042378,0.00020059692256934117,0.0039545785035556835,0.9957613229898801
0.07969352556633416,0.016524441598636388,0.7099777666585083,0.01721172962689899,2145746,36932,0.06843983428898104,4.058776232470461,cancellation,acrf_no_reliability,all,0.04009922849656711,0.02169977400457402,0.00020429853746305876,0.00410470172633505,1.0503638507622748
0.08379822729266921,0.016728740136099447,0.6698785381619412,0.01721172962689899,2145746,36932,0.04674006028440702,3.008412381708186,cancellation,calendar_weather_demand,all,0.0,0.0,0.0,0.0,0.0
0.07990117871374673,0.016528687209124645,0.7064673474570977,0.01721172962689899,2145746,36932,0.06768875458358603,3.999992637004454,cancellation,ds_fusion,all,0.03658880929515651,0.020948694299179012,0.00020005292697480165,0.0038970485789224796,0.991580255296268
0.07617959466305511,0.015905937807464385,0.742771806457549,0.01721172962689899,2145746,36932,0.12713716016107188,4.728165605017763,cancellation,early_fusion_wad,all,0.07289326829560783,0.08039709987666485,0.0008228023286350611,0.007618632629614097,1.719753223309577
0.07971633199077217,0.016522822497431967,0.7098790842918239,0.01721172962689899,2145746,36932,0.06837109504274888,4.05107069808246,cancellation,full_acrf,all,0.040000546129882686,0.021631034758341862,0.00020591763866747992,0.004081895301897037,1.0426583163742738
0.07946524196441777,0.01651490912667482,0.71302310070844,0.01721172962689899,2145746,36932,0.06948926286133242,4.143728443489983,cancellation,full_acrf_eta,all,0.04314456254649879,0.0227492025769254,0.0002138310094246254,0.0043329853282514375,1.135316061781797
0.0761795946642694,0.015905937807621427,0.742771806457549,0.01721172962689899,2145746,36932,0.12713716016107188,4.728165605017763,cancellation,residual_logistic_fusion,all,0.07289326829560783,0.08039709987666485,0.00082280232847802,0.007618632628399805,1.719753223309577
0.08032294355083046,0.016537869742641344,0.6974345271445512,0.01721172962689899,2145746,36932,0.06622027878576493,3.998946064425164,cancellation,yager_fusion,all,0.027555988982610025,0.019480218501357914,0.00019087039345810214,0.0034752837418387528,0.9905336827169782
