log_loss,brier,auc,event_rate,arrivals,events,pr_auc,outer_fold_month,inner_valid_month,eta,selected,eta_objective,note,target
0.25393689457321195,0.0672426164519427,0.6641779710881178,0.07643191259690556,152855,11683,0.18210819211103899,1,2,4.0,True,auc,grid_search,long_arrival_delay
0.2539350310937843,0.0672428852225167,0.6641733224844654,0.07643191259690556,152855,11683,0.18205896846667421,1,2,3.5,False,auc,grid_search,long_arrival_delay
0.2539337127818785,0.067243213602932,0.6641702539331303,0.07643191259690556,152855,11683,0.1820475706732965,1,2,3.0,False,auc,grid_search,long_arrival_delay
0.25393290461818546,0.06724350111623768,0.664164612188382,0.07643191259690556,152855,11683,0.18205253250057615,1,2,2.5,False,auc,grid_search,long_arrival_delay
0.25393257218050264,0.067243033873813,0.6641550500221888,0.07643191259690556,152855,11683,0.18207061684350787,1,2,2.0,False,auc,grid_search,long_arrival_delay
0.25393106878467,0.06723732257267881,0.6641227323135825,0.07643191259690556,152855,11683,0.18228536773791112,1,2,1.5,False,auc,grid_search,long_arrival_delay
0.2539111075485728,0.067214418190167,0.664010139943912,0.07643191259690556,152855,11683,0.18293930863578672,1,2,1.0,False,auc,grid_search,long_arrival_delay
0.25397961541639963,0.06721538263591953,0.6638242806816675,0.07643191259690556,152855,11683,0.18285317771182605,1,2,0.5,False,auc,grid_search,long_arrival_delay
0.2542718443128932,0.06724148090215788,0.6631744856818751,0.07643191259690556,152855,11683,0.18278385336827968,1,2,0.0,False,auc,grid_search,long_arrival_delay
0.23392464675040414,0.060584293450001936,0.6536704041609297,0.06664977956298589,165807,11051,0.13938462673149063,2,1,4.0,True,auc,grid_search,long_arrival_delay
0.23393218880117858,0.06058620779640338,0.6536444552789386,0.06664977956298589,165807,11051,0.13935743738495562,2,1,3.5,False,auc,grid_search,long_arrival_delay
0.23394078757026782,0.06058833691242645,0.653614497529154,0.06664977956298589,165807,11051,0.13932549385154144,2,1,3.0,False,auc,grid_search,long_arrival_delay
0.23395134889450017,0.06059093693228611,0.6535815974481652,0.06664977956298589,165807,11051,0.13930242800798742,2,1,2.5,False,auc,grid_search,long_arrival_delay
0.23396434721952258,0.06059350466273902,0.65355044159889,0.06664977956298589,165807,11051,0.13921930615450867,2,1,2.0,False,auc,grid_search,long_arrival_delay
0.23403024734593297,0.060605500211342145,0.6533835485033089,0.06664977956298589,165807,11051,0.13894964010034674,2,1,1.5,False,auc,grid_search,long_arrival_delay
0.2341283087761133,0.06060709314371501,0.6529858239114084,0.06664977956298589,165807,11051,0.13875070294414546,2,1,1.0,False,auc,grid_search,long_arrival_delay
0.23425500996073093,0.06060128691751828,0.6524660779442387,0.06664977956298589,165807,11051,0.13945097347677854,2,1,0.5,False,auc,grid_search,long_arrival_delay
0.23458901185314104,0.060603985066089834,0.6508458673621558,0.06664977956298589,165807,11051,0.14281303835176856,2,1,0.0,False,auc,grid_search,long_arrival_delay
0.2538784613384376,0.06725043887230783,0.6651755710116874,0.07643191259690556,152855,11683,0.18173121955043345,3,2,4.0,True,auc,grid_search,long_arrival_delay
0.25387702816764635,0.06725077279439615,0.6651753672904369,0.07643191259690556,152855,11683,0.18172605787580842,3,2,3.5,False,auc,grid_search,long_arrival_delay
0.2538761184648058,0.06725117668890462,0.6651709054312641,0.07643191259690556,152855,11683,0.181751961642933,3,2,3.0,False,auc,grid_search,long_arrival_delay
0.25387579232969076,0.06725156323035975,0.6651657657138829,0.07643191259690556,152855,11683,0.18172528821129005,3,2,2.5,False,auc,grid_search,long_arrival_delay
0.2538754562045967,0.06725108570790943,0.6651571312069551,0.07643191259690556,152855,11683,0.18176493928850473,3,2,2.0,False,auc,grid_search,long_arrival_delay
0.25387265448433355,0.06724499068833871,0.6651320255944029,0.07643191259690556,152855,11683,0.18186496559953438,3,2,1.5,False,auc,grid_search,long_arrival_delay
0.25385073587890095,0.06722183934151672,0.6649751359790236,0.07643191259690556,152855,11683,0.1826917572994231,3,2,1.0,False,auc,grid_search,long_arrival_delay
0.25391799036052515,0.06722377957272264,0.6647652830827189,0.07643191259690556,152855,11683,0.182813350461781,3,2,0.5,False,auc,grid_search,long_arrival_delay
0.2541995086552909,0.06724870222918462,0.6641520930324909,0.07643191259690556,152855,11683,0.18255517344197392,3,2,0.0,False,auc,grid_search,long_arrival_delay
0.2370541185341275,0.06251577773583572,0.7020929303287412,0.07175414479945237,179683,12893,0.19765968940008824,4,3,4.0,True,auc,grid_search,long_arrival_delay
0.23705014770986377,0.06251413042319057,0.7020852741623026,0.07175414479945237,179683,12893,0.19768733201996674,4,3,3.5,False,auc,grid_search,long_arrival_delay
0.2370528433339574,0.0625142080916149,0.7020650083864645,0.07175414479945237,179683,12893,0.19760341312134913,4,3,3.0,False,auc,grid_search,long_arrival_delay
0.23705716076109584,0.06251451658763214,0.7020287606422004,0.07175414479945237,179683,12893,0.1975544678793423,4,3,2.5,False,auc,grid_search,long_arrival_delay
0.2370625888255008,0.06251480125516203,0.7019678558939835,0.07175414479945237,179683,12893,0.19749169249275703,4,3,2.0,False,auc,grid_search,long_arrival_delay
0.23708689323635065,0.06251726042765535,0.7018470150439717,0.07175414479945237,179683,12893,0.19748445217117672,4,3,1.5,False,auc,grid_search,long_arrival_delay
0.2371362842268057,0.0625192951925579,0.7016349684371702,0.07175414479945237,179683,12893,0.19726653432271948,4,3,1.0,False,auc,grid_search,long_arrival_delay
0.23726277320754888,0.06254039138239408,0.7012130375883593,0.07175414479945237,179683,12893,0.197140703784211,4,3,0.5,False,auc,grid_search,long_arrival_delay
0.23751839645514064,0.06257151433220232,0.7001585810910071,0.07175414479945237,179683,12893,0.19799999099972335,4,3,0.0,False,auc,grid_search,long_arrival_delay
0.25036169090475685,0.06744322795808322,0.7172382702333866,0.07954506623534906,175586,13967,0.23370430751103546,5,4,4.0,True,auc,grid_search,long_arrival_delay
